author_id,edit_history_tweet_ids,id,public_metrics,text,retweeter,withheld,tweeter
1042326273845092352,[1626263216291471362],1626263216291471362,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @lueckenbildung: Viele Lehrkräfte haben iPads gestellt bekommen. Inwiefern könnten sie mit den Dienstgeräten iMessage zur kollegiumsinte…,OSynje,,lueckenbildung
1160183215308623873,[1626260626019348481],1626260626019348481,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @lueckenbildung: Viele Lehrkräfte haben iPads gestellt bekommen. Inwiefern könnten sie mit den Dienstgeräten iMessage zur kollegiumsinte…,Bot_TwLehrerZ,,lueckenbildung
20065509,[1626256902962257920],1626256902962257920,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}","RT @SenBJF: Mit dem Ziel, die Digitalkompetenz von Lehrkräften zu stärken, haben wir eine neue #Qualifizierungsreihe gestartet. Seit letzte…",helliwood,,SenBJF
19904301,[1626255492476444672],1626255492476444672,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @SiemensStiftung: 📢@HPI_DSchool und wir laden zur unsere kostenlosen #Lehrkräfte-Fortbildung „#DesignThinking in #MINT” ein. In einem Mi…,HPI_DSchool,,SiemensStiftung
105483132,[1626249600515428358],1626249600515428358,"{'retweet_count': 13, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}","RT @hav_hendrik: Die ersten Bundesländer veröffentlichen Handlungsempfehlungen für Lehrkräfte. Positiv: Es deutet sich an, dass es kein Ver…",JeanLuc79,,hav_hendrik
1415321146568871941,[1626246673809784832],1626246673809784832,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}","RT @AlexSchaumburg: @geierandrea2017 Da steht: Es gibt keine entsprechende VORSCHRIFT. Es hält aber auch niemand Lehrkräfte davon ab, trotz…",Cynthior1,,AlexSchaumburg
1463389976926720002,[1626243317200572418],1626243317200572418,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}","RT @AlexHabicher: Parallel zum U15 Dialog an der @UniCologne wollen wir mit Praktiker*innen rund ums Lehramt gute Ideen entwickeln, macht m…",Jan_Springob,,AlexHabicher
867976640273367040,[1626243267116388360],1626243267116388360,"{'retweet_count': 23, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @JSchmitzLeipzig: Der #Lehrkräftemangel ist dramatisch. Kinder wie Lehrkräfte stehen enorm unter Druck und sind psychisch belastet. Es i…,KlarDesi,,JSchmitzLeipzig
1583411062757642241,[1626241394552590336],1626241394552590336,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 5}",Antwort der 🚦 : Dann kriegen die Lehrkräfte einen Bonus für die Mehrbelastung. 😂😂 https://t.co/PeiEsx5IaL,bojo66,,
715880857,[1626241347861585923],1626241347861585923,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}","RT @JMWiarda: Am Scheideweg

Warum an den neuen Zahlen des Statistischen Bundesamtes zu #Lehramt und #Lehrerberuf nicht alles schlecht ist…",JMWiarda,,JMWiarda
